student_id,slot_0,slot_1,slot_2,dept,score
S00290,,社会福祉法人 聖徳会,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,社会福祉科,5
S00291,,,社会福祉法人 聖徳会,社会福祉科,3
S00292,医療法人社団 創生会,,,社会福祉科,3
S00293,株式会社 シーアイ・パートナーズグループ,社会福祉法人 みなと寮　（救護施設・特別養護老人ホーム）,,社会福祉科,5
S00294,,,社会医療法人寿栄会 ありまこうげんホスピタル,社会福祉科,3
S00295,医療法人社団 創生会,,,社会福祉科,3
S00296,,株式会社スバコ・ケア・エンジニアリング,社会福祉法人 聖徳会,社会福祉科,5
S00297,,,社会福祉法人 天心会　小阪病院,社会福祉科,1
S00298,,社会福祉法人 大阪自彊館,株式会社スバコ・ケア・エンジニアリング,社会福祉科,5
S00299,,,社会福祉法人 産経新聞厚生文化事業団,社会福祉科,3
S00300,,,株式会社スバコ・ケア・エンジニアリング,社会福祉科,3
